ID,CALL,CN,TYPE,INDEX
 ,D-KBSP,SP,JS3,107
FLRDDF0FC,D-KXBX,BX,JSMD3,86
FLRDDF0C3,OH-975,WS,ASG 29E,113
 ,SP-3787,PES,ASG 29E,113
 ,D-KGLS,LS,LS10st,98
 ,D-KBRS,I7,Ventus 3T,110
 ,D-KLXD,XD,JS3,107
FLRDDEDC6,OK-2977,QZ,ASG 29E,113
FLRDDDF21,OH-993,AL,Ventus 2 cxa,114
FLRDDF0D8,D-KMTM,AA,JS3,107
ICA3EC400,D-KPEM,VY,Ventus 3T,110
 ,LY-GQT,77,LAK-17B,114
FLRDF0EC9,D-KKSW,AK,ASG 29,113
FLRD001B8,D-KGBL,LV,Ventus 2cxm,118
FLRDDF09B,OK-5513,D3,Diana 3,114
 ,G-CKVT,210,Ventus 3T,110
ICA3E6DC9,D-KGTT,2T,ASG 29 E,113
ICA3ED30A,D-KUWO,WO,Ventus 3T,110
FLRD0038C,ZS-GCV,TP,JS1-B,86
 ,G-SIIO,110,Ventus 3T,110
FLRDDF0EE,D-KSTM,AX,JS3-18,88
FLRD000E5,D-KKGT,GT,Ventus 3T,110
FLRD003F2,D-KADJ,E1,JS-3,86
FLRDDE258,SE-UVZ,VZ,ASG 29E,113
 ,D-KBHB,14,JS3,107
FLRDDF16C,ZT-GAA,FM,JS3,107
FLRDDEE19,D-1168,WG,ASG 29,113
FLRDD9DC4,D-KLMC,2L,JS3,107
