ID,CALL,CN,TYPE,INDEX
 ,D-KBSP,SP,JS3-18,88
FLRDDF0FC,D-KXBX,BX,JS3-18,88
FLRDDF0C3,OH-975,WS,ASG 29E,113
 ,SP-3787,PES,ASG 29E,113
 ,D-KGLS,LS,LS-10 st,96
 ,D-KBRS,I7,Ventus 3T,110
 ,D-KLXD,XD,JS3-18,88
FLRDDEDC6,OK-2977,QZ,ASG 29E,113
FLRDDDF21,OH-993,AL,Ventus 2 cxa,114
FLRDDF0D8,D-KMTM,XM,JS3-18,88
ICA3EC400,D-KPEM,VY,Ventus 3T,110
 ,LY-GQT,77,LAK-17B,114
FLRDF0EC9,D-KKSW,AK,ASG 29,113
FLRD001B8,D-KGBL,LV,Ventus 2 cxm,118
FLRDDF09B,OK-5513,D3,Diana 3,114
 ,G-CKVT,210,Ventus 3T,110
ICA3E6DC9,D-KGTT,2T,ASG 29E,113
ICA3ED30A,D-KUWO,WO,Ventus 3T,110
FLRD0038C,ZS-GCV,TP,JS1-18,88
 ,G-SIIO,110,Ventus 3T,110
FLRDDF0EE,D-KSTM,AX,JS3-18,88
FLRD000E5,D-KKGT,GT,Ventus 3T,110
FLRD003F2,D-KADJ,E1,JS3-18,88
FLRDDE258,SE-UVZ,VZ,ASG 29E,113
 ,D-KBHB,14,JS3-18,88
FLRDDF16C,ZT-GAA,FM,JS3-18,88
FLRDDEE19,D-1168,WG,ASG 29,113
FLRDD9DC4,D-KLMC,2L,JS3-18,88
