ID,CALL,CN,TYPE,INDEX
FLRDD52AA,LV-EJU,2N,Jantar Std 2,100
FLRDDE42E,LV-ELL,ND,Jantar Std 3,100
FLRDD5298,LV-DPE,PS,Jantar Std 2,100
FLRDD528D,LV-DPG,PR,Jantar Std 2,100
FLRDD52CF,PT-POF,JW,Jantar Std 3,100
FLRDD52CC,LV-DPF,PD,Jantar Std 2,100
FLRDD52D0,LV-DLW,43,Jantar Std 2,100
FLRDD525F,LV-EOM,FV,Jantar Std 2,100
FLRDD529B,LV-DOT,QM,Jantar Std 2,100
FLRDDA2F6,PT-POB,BG,Jantar Std 3,100
FLRDD52B2,LV-EIV,V8,Jantar Std 2,100
FLRDD52CE,LV-EIZ,CB,Jantar Std 2,100
FLRDD52BC,LV-DNP,TI,Jantar Std 2,100
FLRDD52D1,LV-DOH,SI,Jantar Std 2,100
FLRDD52BA,LV-EIR,JM,Jantar Std 2,100
