ID,CALL,CN,TYPE,INDEX
FLRDD5268,LV-EDK,CQ,ASW 20,100
FLRDD52B6,LV-DPP,LQ,ASW 20,100
FLRDD52C5,LV-DPS,MR,ASW 20,100
FLRDD52A5,LV-DRA,EF,ASW 20,100
FLRDD52C3,LV-EQE,W,ASW 20,100
FLRDDF0E8,LV-EOO,ZC,ASW 20,100
FLRDD5261,LV-EPT,IR,ASW 20,100
FLRDD52B3,LV-DRG,RJ,ASW 20,100
FLRDDE9AE,LV-EOW,OF,ASW 20,100
FLRDD52A5,LV-DRA,LG,ASW 20,100
FLRDD529E,LV-DOE,VN,ASW 20,100
FLRDD52BE,PT-PGZ,HH,ASW 20,100
FLRDD52C1,LV-DRB,ZB,ASW 20,100
FLRDD52CB,LV-DPC,DR,ASW 20,100
FLRDD528E,LV-EOB,WR,ASW 20,100
FLRDD5289,LV-ENV,CR,ASW 20,100
