ID,CALL,CN,TYPE,INDEX
FLRDDEFE6,D-9529,AR,ASG 29/18m,119
FLRDD9D1E,D-KXDH,DH,DG 808C/18m,118
FLRDDEA8F,OK-2992,OK,ASG 29Es/18m,119
ICA4B5208,HB-3425,4S,ASG 29/18m,119
FLRDDEEA2,D-8024,PL,ASG 29/18m,119
FLRDDEC18,D-KEGP,JM,Arcus M,114
FLRDDECE2,G_LIVS,261,ASH 26E,117
FLRDDEF7A,ZS-GEI,EJ,JS 1C,119
 ,D-KJMW,WM,Ventus 3T,119
FLRDDECC4,YU-4467,P,JS 1C,119
 ,D-KCOT,OT,JS 1C,119
 ,D-9683,WG,ASG 29/18m,119
ICAC821A9,ZK-GOB,OB,JS 1C,119
FLRDD8E66,CC-KWF,WF,Mini Nimbus,107
FLRDDECCF,G-DLOE,YO,ASG 29/18m,119
FLRDF0CB5,CC-AVE,VE,Ventus 2cM/18m,118
FLRDDF91F,CC-PQW,PQ,Ventus bT 17.6m,115
FLRDDF93F,CC-KWE,2,Mini Nimbus,107
FLRDDEE67,CC-AAW,DUO,Duo Discus T,110
FLRDDFD1F,CC-PYV,YV,Ventus cT 15m,110
FLRDDF9D8,CC-PQV,QV,Ventus 2B,114
FLRDDFAEE,CC-LWD,3,Ventus cM 17.6m,115
 ,CC-PXY,XY,Nimbus 2 c,114
FLRDF0CBA,CC-AVR,VR,Ventus 2cM/18m,118
FLRDDEF31,D-KHAT,AT,Ventus 3T,119
FLRDF1160,CC-AIW,5B,Ventus 2cxa 18m,119
FLRDF0CC1,CC-AZZ,ZZ,Ventus 2cM/18m,118
FLRDDEB82,CC-AIG,IG,Arcus M,114
FLRDDFA81,CC-PQZ,QZ,Ventus 2cT/15m,114
