ID,CALL,CN,TYPE,INDEX
FLRDDEE41,D-KHRI,OT,JS-1 TJ Revelation 18m,1
FLRD003D2,D-KLXV,E3,ASG29 ES,1
FLRD0098C,D-KVLZ,LZ,Ventus 3,1
FLRDDF0EE,D-KTSM,AX,JS3 - 18m Jet,1
FLRDDE1B2,D-KBOS,OS,ASG-29E 18m,1
FLRDDEBF7,S5-3111,JL,LAK 17AT,1
FLRD00AAB,D-KEDZ,DZ,JS-1 TJ Revelation 18m,1
FLRDF1055,D-KKIL,GW,Ventus cM 17.6m,1
FLRDDED74,D-KJII,1L,ASG-29E 18m,1
FLRDDECCF,G-DLOE,YO,ASG-29E 18m,1
FLRDDF0DD,D-KGLI,JS3,JS3 JET,1
FLRDDED52,YU-4477,IGC,JS-1 TJ Revelation 18m,1
FLRD00ABC,D-KCEX,EM,Ventus 3,1
FLRDDEFE6,D-9529,AR,ASG-29 18m,1
FLRDF0ED4,D-2915,SL,ASG29,1
