#DEVICE_TYPE,DEVICE_ID,AIRCRAFT_MODEL,REGISTRATION,CN,TRACKED,IDENTIFIED
'F','000000','DR-300','PTFW','PTW','Y','Y'
'F','000002','LS-6 18','OY-XRG','G2','Y','Y'
'F','0000FD','Taurus','F-JRDN','DN','Y','Y'
'F','000296','ASW-24','OM-0296','CK','Y','Y'
'F','000338','Unknown','','','Y','Y'
'F','000368','PIK-20 B','C-GORE','GP','Y','Y'
'F','000503','SZD-48-1 Jantar Std 2','SP-3152','DG','Y','Y'
'F','000617','ASW-20','OE-5292','A2','Y','Y'
'F','000933','Ventus 2bx','OH-933','KX3','Y','Y'
'F','000975','Cirrus Std','D-0975','75','Y','Y'
'F','001067','Experimental','OECCM','','Y','Y'
'F','001352','Motorplane','HBEHS','','Y','Y'
'F','001571','Mooney','DENWU','','Y','Y'
'F','001870','RF 5','G-AZRM','RM','Y','Y'
'F','002765','','','','N','N'
'F','002787','','','','N','N'
'F','002814','','','','N','N'
'F','002972','LS-4','D-9657','EMU','Y','Y'
'F','003191','Ventus ct','G-CJKY','243','Y','Y'
'F','003733','Nimbus 3','VH-ZBV','BV','Y','Y'
'F','003974','PIK-20 D','C-GFOP','OP','Y','Y'
'F','003998','LAK-17 AT','','','Y','Y'
'F','003B7D','ASW-20','D-3081','DH','Y','Y'
'F','003EB8','LAK-17 AT','D-KJNK','SCO','Y','Y'
'F','004701','','','','N','N'
'F','004702','','','','N','N'
'F','006203','','','','N','N'
'F','00C3D0','Astir CS','F-CIBZ','','Y','Y'
'F','00D2DF','PIK-20 D','SE-UIS','51','Y','Y'
'F','00F8D7','ASW-15','OM-1615','TZ','Y','Y'
'O','014312','Ground Station','OM2APF','car','Y','Y'
'O','01542C','Baloon','D-OVDS','DS','Y','Y'
'I','025983','Nimbus 2 C','D-8747','','Y','Y'
'F','033915','LAK-17 AT','D-KGPC','PC','Y','Y'
'F','050891','LS-8 18','HB-3352','EY','Y','Y'
'O','065247','Unknown','KILY-1','Vin','Y','Y'
'O','066015','Z-226 trener','OK-MPB','226','Y','Y'
'O','076F63','Duo Discus','C-GDUO','DUO','Y','Y'
'F','0D2908','ASK-21','D-2908','08','Y','Y'
'F','0D2950','LS-6 18WJ','D-2950','1R','Y','Y'
